HUC12,NAME,Amphibian_summed_Composite_Index_score,Amphibian_standardized_Composite_Index_score__0_1_,Amphibian_Quantile_rank,Bird_summed_Composite_Index_score,Bird_standardized_Composite_Index_score__0_1_,Bird_Quantile_rank,Mammal_summed_Composite_Index_score,Mammal_standardized_Composite_Index_score__0_1_,Mammal_Quantile_rank,Reptile_summed_Composite_Index_score,Reptile_standardized_Composite_Index_score__0_1_,Reptile_Quantile_rank,Macrorefugua_summed_Composite_Index_score,Macrorefugia_standardized_Composite_Index_score__0_1_,Macrorefugia_Quantile_rank
140801041002,Ditch Canyon-Animas River,-0.300000000000000,0.090000000000000,2,0.220000000000000,0.320000000000000,4,0.140000000000000,0.290000000000000,4,-0.740000000000000,0.050000000000000,1,0.000000000000000,0.590000000000000,3
150400040302,Trout Creek,-0.160000000000000,0.110000000000000,2,0.100000000000000,0.290000000000000,4,-0.410000000000000,0.160000000000000,2,-0.470000000000000,0.090000000000000,1,0.860000000000000,0.790000000000000,5
140801050110,Johnny Pond Arroyo-La Plata River,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999
150400040303,Stone Creek-San Francisco River,-0.020000000000000,0.130000000000000,3,0.410000000000000,0.370000000000000,5,-0.040000000000000,0.250000000000000,3,-0.520000000000000,0.080000000000000,1,0.810000000000000,0.780000000000000,5
150400040502,Dry Blue Creek,0.170000000000000,0.150000000000000,4,0.970000000000000,0.490000000000000,5,0.640000000000000,0.400000000000000,5,-0.600000000000000,0.070000000000000,1,0.640000000000000,0.740000000000000,5
150400040503,Campbell Blue Creek,-0.340000000000000,0.080000000000000,2,0.270000000000000,0.330000000000000,4,0.560000000000000,0.380000000000000,5,-1.070000000000000,0.000000000000000,1,0.480000000000000,0.700000000000000,5
150400040504,Centerfire Creek-Blue River,-0.200000000000000,0.100000000000000,2,0.460000000000000,0.380000000000000,5,0.120000000000000,0.280000000000000,4,-0.730000000000000,0.050000000000000,1,0.900000000000000,0.800000000000000,5
150400040506,Steeple Canyon-Blue River,-0.340000000000000,0.080000000000000,2,0.410000000000000,0.370000000000000,5,0.190000000000000,0.300000000000000,4,-0.860000000000000,0.030000000000000,1,0.920000000000000,0.800000000000000,5
150400040601,Upper Pueblo Creek,-0.140000000000000,0.110000000000000,3,0.580000000000000,0.400000000000000,5,0.690000000000000,0.410000000000000,5,-0.790000000000000,0.040000000000000,1,0.940000000000000,0.810000000000000,5
150400040602,Lower Pueblo Creek,0.670000000000000,0.220000000000000,5,1.080000000000000,0.520000000000000,5,1.010000000000000,0.480000000000000,5,-0.130000000000000,0.140000000000000,3,1.210000000000000,0.870000000000000,5
150400040603,Keller Canyon,0.430000000000000,0.190000000000000,5,0.500000000000000,0.390000000000000,5,0.470000000000000,0.360000000000000,5,0.160000000000000,0.190000000000000,4,1.380000000000000,0.910000000000000,5
150400040604,Vigil Canyon,0.420000000000000,0.180000000000000,5,1.080000000000000,0.510000000000000,5,0.650000000000000,0.400000000000000,5,0.060000000000000,0.170000000000000,4,1.340000000000000,0.900000000000000,5
150400040704,Little Blue Creek,-0.610000000000000,0.050000000000000,1,0.370000000000000,0.360000000000000,4,0.660000000000000,0.410000000000000,5,-0.860000000000000,0.030000000000000,1,1.760000000000000,1.000000000000000,5
150400040806,Citizen Canyon,-0.200000000000000,0.100000000000000,2,0.490000000000000,0.380000000000000,5,0.740000000000000,0.420000000000000,5,-0.390000000000000,0.100000000000000,1,1.080000000000000,0.840000000000000,5
150400040807,Big Pine Canyon-San Francisco River,-0.020000000000000,0.130000000000000,3,1.170000000000000,0.530000000000000,5,1.860000000000000,0.680000000000000,5,-0.450000000000000,0.090000000000000,1,0.760000000000000,0.770000000000000,5
150400040808,Harden Cienega Creek,-0.290000000000000,0.090000000000000,2,-0.050000000000000,0.260000000000000,3,-0.050000000000000,0.240000000000000,3,-0.320000000000000,0.110000000000000,2,0.950000000000000,0.810000000000000,5
150400040809,Coal Creek,-0.190000000000000,0.100000000000000,2,0.540000000000000,0.390000000000000,5,0.590000000000000,0.390000000000000,5,-0.830000000000000,0.040000000000000,1,0.580000000000000,0.720000000000000,5
150400040811,Coalson Creek-San Francisco River,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999
110200100802,Mike Creek-Trinchera Creek,-0.470000000000000,0.070000000000000,1,0.440000000000000,0.370000000000000,5,0.450000000000000,0.360000000000000,5,-0.470000000000000,0.090000000000000,1,0.640000000000000,0.740000000000000,5
110200100803,Doss Arroyo-Trinchera Creek,-0.260000000000000,0.090000000000000,2,0.470000000000000,0.380000000000000,5,0.540000000000000,0.380000000000000,5,-0.490000000000000,0.090000000000000,1,0.670000000000000,0.750000000000000,5
130201020203,Wolf Creek,0.510000000000000,0.200000000000000,5,1.130000000000000,0.530000000000000,5,1.170000000000000,0.520000000000000,5,-0.460000000000000,0.090000000000000,1,1.420000000000000,0.920000000000000,5
130201020205,Rio Chamita-Rio Chama,0.490000000000000,0.190000000000000,5,1.260000000000000,0.560000000000000,5,1.370000000000000,0.570000000000000,5,-0.360000000000000,0.110000000000000,2,1.310000000000000,0.890000000000000,5
140801010605,Little Navajo River-Navajo River,0.120000000000000,0.140000000000000,4,0.790000000000000,0.450000000000000,5,0.920000000000000,0.460000000000000,5,-0.680000000000000,0.060000000000000,1,0.300000000000000,0.660000000000000,4
140801010607,Coyote Creek,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,0.600000000000000,0.730000000000000,5
140801010608,Coyote Creek-Navajo River,0.020000000000000,0.130000000000000,3,0.500000000000000,0.390000000000000,5,0.800000000000000,0.440000000000000,5,-0.570000000000000,0.080000000000000,1,0.510000000000000,0.710000000000000,5
140801010609,Amargo Canyon-Navajo River,0.370000000000000,0.180000000000000,5,0.660000000000000,0.420000000000000,5,1.060000000000000,0.500000000000000,5,-0.310000000000000,0.120000000000000,2,0.580000000000000,0.720000000000000,5
140801010610,Navajo River-San Juan River,0.130000000000000,0.150000000000000,4,1.080000000000000,0.510000000000000,5,1.020000000000000,0.490000000000000,5,-0.630000000000000,0.070000000000000,1,0.570000000000000,0.720000000000000,5
140801010801,Carracas Canyon,-0.160000000000000,0.110000000000000,2,0.150000000000000,0.310000000000000,4,0.240000000000000,0.310000000000000,4,-0.760000000000000,0.050000000000000,1,0.550000000000000,0.720000000000000,5
140801010803,San Juan River-Navajo Reservoir,-0.400000000000000,0.080000000000000,1,0.170000000000000,0.310000000000000,4,0.170000000000000,0.290000000000000,4,-0.870000000000000,0.030000000000000,1,0.520000000000000,0.710000000000000,5
140801011506,Shellhammer Ridge-Los Pinos River,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,0.260000000000000,0.650000000000000,4
140801011507,Los Pinos River,1.150000000000000,0.280000000000000,5,0.380000000000000,0.360000000000000,4,0.170000000000000,0.290000000000000,4,0.670000000000000,0.260000000000000,5,0.280000000000000,0.650000000000000,4
140801011601,Sambrito Creek-Navajo Reservoir,0.280000000000000,0.170000000000000,4,-0.080000000000000,0.250000000000000,3,0.000000000000000,0.250000000000000,3,0.350000000000000,0.210000000000000,5,0.360000000000000,0.670000000000000,4
140801070301,Mancos River-Moqui Canyon,-0.700000000000000,0.040000000000000,1,-0.200000000000000,0.230000000000000,2,-0.210000000000000,0.210000000000000,3,-0.710000000000000,0.050000000000000,1,0.650000000000000,0.740000000000000,5
140801070307,140801070307,0.020000000000000,0.130000000000000,3,-0.680000000000000,0.120000000000000,1,-0.590000000000000,0.120000000000000,1,0.490000000000000,0.240000000000000,5,-0.010000000000000,0.590000000000000,3
110400010303,Cow Canyon,-0.290000000000000,0.090000000000000,2,-0.210000000000000,0.230000000000000,2,-0.130000000000000,0.220000000000000,3,-0.320000000000000,0.110000000000000,2,0.000000000000000,0.000000000000000,1
110200100704,Rito Seco,-0.520000000000000,0.060000000000000,1,0.150000000000000,0.310000000000000,4,0.120000000000000,0.280000000000000,4,-0.500000000000000,0.090000000000000,1,0.820000000000000,0.780000000000000,5
110400010907,Blacksmith Canyon,0.200000000000000,0.150000000000000,4,0.110000000000000,0.300000000000000,4,0.320000000000000,0.330000000000000,4,-0.050000000000000,0.150000000000000,3,0.500000000000000,0.700000000000000,5
110400010908,Blacksmith Canyon-North Carrizo Creek,0.330000000000000,0.170000000000000,5,0.000000000000000,0.270000000000000,3,0.280000000000000,0.320000000000000,4,0.050000000000000,0.170000000000000,4,0.000000000000000,0.000000000000000,1
110400010301,Upper Long Canyon,-0.510000000000000,0.060000000000000,1,0.040000000000000,0.280000000000000,3,0.250000000000000,0.310000000000000,4,-0.350000000000000,0.110000000000000,2,0.420000000000000,0.690000000000000,5
110400010304,Middle Long Canyon,-0.520000000000000,0.060000000000000,1,-0.090000000000000,0.250000000000000,3,-0.160000000000000,0.220000000000000,3,-0.350000000000000,0.110000000000000,2,0.290000000000000,0.660000000000000,4
110200100801,Salazar Arroyo,-0.330000000000000,0.080000000000000,2,0.200000000000000,0.320000000000000,4,0.210000000000000,0.300000000000000,4,-0.420000000000000,0.100000000000000,1,0.440000000000000,0.690000000000000,5
110400010602,Escondido Canyon-Cobert Canyon,-0.600000000000000,0.050000000000000,1,-0.410000000000000,0.180000000000000,2,-0.390000000000000,0.170000000000000,2,-0.230000000000000,0.130000000000000,2,0.000000000000000,0.000000000000000,1
110400010603,Cobert Canyon,-0.510000000000000,0.060000000000000,1,-0.560000000000000,0.150000000000000,1,-0.460000000000000,0.150000000000000,2,-0.230000000000000,0.130000000000000,2,0.230000000000000,0.640000000000000,4
110400010604,Jesus Canyon,0.020000000000000,0.130000000000000,3,0.560000000000000,0.400000000000000,5,0.920000000000000,0.470000000000000,5,-0.450000000000000,0.090000000000000,1,0.480000000000000,0.700000000000000,5
110400010605,Travesser Creek-Dry Cimarron River,-0.490000000000000,0.060000000000000,1,-0.010000000000000,0.270000000000000,3,0.280000000000000,0.320000000000000,4,-0.350000000000000,0.110000000000000,2,0.270000000000000,0.650000000000000,4
110400011001,Flathead Canyon,-0.260000000000000,0.090000000000000,2,-0.100000000000000,0.250000000000000,3,-0.020000000000000,0.250000000000000,3,-0.380000000000000,0.110000000000000,1,0.390000000000000,0.680000000000000,4
110400011003,Sheep Pen Creek,0.150000000000000,0.150000000000000,4,0.000000000000000,0.270000000000000,3,0.040000000000000,0.260000000000000,3,-0.040000000000000,0.160000000000000,3,0.280000000000000,0.650000000000000,4
110400011005,Miller Canyon-Dry Cimarron RIver,-0.190000000000000,0.100000000000000,2,0.560000000000000,0.400000000000000,5,0.660000000000000,0.410000000000000,5,-0.080000000000000,0.150000000000000,3,0.320000000000000,0.660000000000000,4
110800010101,Upper Chicorica Creek,0.090000000000000,0.140000000000000,4,0.690000000000000,0.430000000000000,5,0.440000000000000,0.350000000000000,5,-0.290000000000000,0.120000000000000,2,1.620000000000000,0.970000000000000,5
110800010104,Raton Creek,-0.190000000000000,0.100000000000000,2,-0.130000000000000,0.240000000000000,3,-0.070000000000000,0.240000000000000,3,-0.230000000000000,0.130000000000000,2,0.930000000000000,0.800000000000000,5
110800010201,Six-Horse Canyon-Canadian River,-0.290000000000000,0.090000000000000,2,0.290000000000000,0.340000000000000,4,0.080000000000000,0.270000000000000,4,-0.520000000000000,0.080000000000000,1,0.990000000000000,0.820000000000000,5
110800010203,Dillon Canyon,0.000000000000000,0.130000000000000,3,0.610000000000000,0.410000000000000,5,0.580000000000000,0.390000000000000,5,-0.560000000000000,0.080000000000000,1,0.930000000000000,0.810000000000000,5
110800010301,Gold Creek-Vermejo River,0.070000000000000,0.140000000000000,4,0.570000000000000,0.400000000000000,5,0.880000000000000,0.460000000000000,5,-0.460000000000000,0.090000000000000,1,1.300000000000000,0.890000000000000,5
110800010304,Rock Creek-Vermejo River,0.010000000000000,0.130000000000000,3,0.400000000000000,0.360000000000000,4,0.480000000000000,0.360000000000000,5,-0.520000000000000,0.080000000000000,1,1.340000000000000,0.900000000000000,5
130100020801,Headwaters Ventero Creek,0.090000000000000,0.140000000000000,4,0.810000000000000,0.450000000000000,5,0.520000000000000,0.370000000000000,5,-0.200000000000000,0.130000000000000,2,0.970000000000000,0.810000000000000,5
130100021103,Cove Lake Reservoir,-0.540000000000000,0.060000000000000,1,-0.150000000000000,0.240000000000000,3,-0.470000000000000,0.150000000000000,2,-0.070000000000000,0.150000000000000,3,0.630000000000000,0.740000000000000,5
130100021104,Punche Arroyo,-0.620000000000000,0.050000000000000,1,-0.440000000000000,0.170000000000000,2,-0.680000000000000,0.100000000000000,1,-0.060000000000000,0.150000000000000,3,0.810000000000000,0.780000000000000,5
130100050203,Toltec Creek-Rio de Los Pinos,0.270000000000000,0.160000000000000,4,1.190000000000000,0.540000000000000,5,1.260000000000000,0.540000000000000,5,-0.350000000000000,0.110000000000000,2,0.660000000000000,0.740000000000000,5
130100050204,City of Ortiz-Rio de Los Pinos,-0.120000000000000,0.110000000000000,3,0.580000000000000,0.400000000000000,5,0.680000000000000,0.410000000000000,5,-0.370000000000000,0.110000000000000,2,-0.440000000000000,0.490000000000000,1
130100050302,Canada de Los Ranchos-Rio San Antonio,-0.340000000000000,0.080000000000000,2,0.000000000000000,0.270000000000000,3,-0.190000000000000,0.210000000000000,3,-0.160000000000000,0.140000000000000,2,0.480000000000000,0.700000000000000,5
130100050303,San Antonio Cemetery-Rio San Antonio,-0.650000000000000,0.040000000000000,1,-0.380000000000000,0.190000000000000,2,-0.440000000000000,0.160000000000000,2,-0.130000000000000,0.140000000000000,3,0.500000000000000,0.710000000000000,5
130100050404,Bighorn Creek,-0.460000000000000,0.070000000000000,1,-0.030000000000000,0.270000000000000,3,0.520000000000000,0.370000000000000,5,-0.470000000000000,0.090000000000000,1,0.000000000000000,0.000000000000000,1
130201010101,Casias Creek-Costillo Creek,0.400000000000000,0.180000000000000,5,1.520000000000000,0.610000000000000,5,1.730000000000000,0.650000000000000,5,-0.360000000000000,0.110000000000000,2,1.150000000000000,0.860000000000000,5
130201010106,Town of Garcia-Costillo River,-0.290000000000000,0.090000000000000,2,0.580000000000000,0.400000000000000,5,0.710000000000000,0.420000000000000,5,-0.420000000000000,0.100000000000000,1,0.490000000000000,0.700000000000000,5
130201010110,Eastdale Creek-Costillo Creek,-0.360000000000000,0.080000000000000,2,-0.420000000000000,0.180000000000000,2,-0.270000000000000,0.190000000000000,2,0.090000000000000,0.180000000000000,4,0.430000000000000,0.690000000000000,5
130201010201,Mesita Hill-Rio Grande,0.160000000000000,0.150000000000000,4,-0.510000000000000,0.160000000000000,1,-0.250000000000000,0.200000000000000,2,0.440000000000000,0.230000000000000,5,0.000000000000000,0.000000000000000,1
130201010202,130201010202,-0.490000000000000,0.060000000000000,1,-0.570000000000000,0.150000000000000,1,-0.820000000000000,0.070000000000000,1,-0.010000000000000,0.160000000000000,3,0.760000000000000,0.770000000000000,5
130201010204,130201010204-Rio Grande,-0.180000000000000,0.110000000000000,2,-0.490000000000000,0.160000000000000,1,-0.490000000000000,0.140000000000000,1,0.070000000000000,0.170000000000000,4,0.710000000000000,0.750000000000000,5
110200100307,Lower Long Canyon,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999
110200100401,Gallinas Creek,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999,999.000000000000000,999.000000000000000,999
110200100703,Headwaters San Isidro Creek,-0.340000000000000,0.080000000000000,2,0.200000000000000,0.320000000000000,4,0.090000000000000,0.270000000000000,4,-0.430000000000000,0.100000000000000,1,1.370000000000000,0.910000000000000,5
140801050402,Headwaters Shumway Arroyo,-0.310000000000000,0.090000000000000,2,-0.030000000000000,0.270000000000000,3,0.160000000000000,0.290000000000000,4,-0.510000000000000,0.080000000000000,1,-0.030000000000000,0.580000000000000,3
140801050601,Upper Salt Creek Wash,-0.160000000000000,0.110000000000000,2,0.380000000000000,0.360000000000000,4,0.540000000000000,0.380000000000000,5,-0.360000000000000,0.110000000000000,2,0.020000000000000,0.590000000000000,3
110200100304,Upper Long Canyon,-0.150000000000000,0.110000000000000,2,0.460000000000000,0.380000000000000,5,0.160000000000000,0.290000000000000,4,-0.640000000000000,0.070000000000000,1,0.760000000000000,0.770000000000000,5
140801011602,Canon Bancos-Navajo Reservoir,4.500000000000000,0.720000000000000,5,0.010000000000000,0.280000000000000,3,-0.120000000000000,0.230000000000000,3,3.590000000000000,0.700000000000000,5,0.340000000000000,0.670000000000000,4
140801011801,Trail Canyon,-0.470000000000000,0.070000000000000,1,-0.220000000000000,0.220000000000000,2,-0.530000000000000,0.130000000000000,1,-0.750000000000000,0.050000000000000,1,0.150000000000000,0.620000000000000,4
140801011802,Upper Pump Canyon,-0.250000000000000,0.100000000000000,2,0.080000000000000,0.290000000000000,4,-0.440000000000000,0.160000000000000,2,-0.720000000000000,0.050000000000000,1,0.200000000000000,0.630000000000000,4
